dataset,eps,k,beta,n_initial,n_coreset,compression_ratio_achieved,p_over_q_achieved,cost_p_c,cost_q_c,cost_p_c_prime,cost_q_c_prime,cost_qc_over_pc,cost_qcprime_over_pcprime,cost_pcprime_over_pc
Citibike Start Locations Raw 2D k=13,0.05,13,640.0,999316,198,0.00019813552469889403,5047.050505050505,260.7531264019058,260.06952183621405,252.37991767470535,245.64165211491655,0.9973783456592652,0.9733011024733204,0.9678883668903951
Citibike Start Locations Raw 2D k=13,0.1,13,640.0,999316,115,0.00011507871384026675,8689.704347826088,260.7531264019058,262.31004058433666,287.73118678940756,275.6557582251766,1.00597083610814,0.958032256777681,1.1034620783258406
Citibike Start Locations Raw 2D k=13,0.2,13,640.0,999316,62,6.204243702692642e-05,16118.0,260.7531264019058,265.9842988327829,240.18652480448128,215.35087113921702,1.0200617822039617,0.8965984720188562,0.9211261552978481
Citibike Start Locations Raw 2D k=13,0.35,13,640.0,999316,40,4.00273787270493e-05,24982.9,260.7531264019058,211.56263095674518,239.94287980817273,121.45851200115048,0.8113522314231356,0.5061976087736089,0.9201917657483514
Citibike Start Locations Raw 2D k=13,0.5,13,640.0,999316,25,2.5017111704405814e-05,39972.64,260.7531264019058,265.7759509717962,315.9459937739125,61.30089154927471,1.0192627587603633,0.19402332283770293,1.2116671356298006
Citibike Start Locations Raw 2D k=13,0.75,13,640.0,999316,19,1.9013004895348418e-05,52595.57894736842,260.7531264019058,257.3370798296637,275.14588974072507,15.748683263755787,0.9868993073280479,0.05723757414147111,1.0551968965336023
Citibike Start Locations Raw 2D k=13,1.0,13,640.0,999316,16,1.6010951490819722e-05,62457.25,260.7531264019058,267.7688023165248,307.68448466882666,3.301962606324591,1.0269054335471535,0.01073165132092581,1.1799838756087793
Citibike Start Locations Raw 2D k=13,1.5,13,640.0,999316,8,8.005475745409861e-06,124914.5,260.7531264019058,245.66143701662708,558.1610772932356,0.0,0.9421226905559036,0.0,2.1405729050892646
Citibike Start Locations Raw 2D k=13,2.0,13,640.0,999316,7,7.004791277233628e-06,142759.42857142858,260.7531264019058,231.55947198375625,614.4025502054382,0.0,0.8880410186409325,0.0,2.3562614902589627
Citibike Start Locations Raw 2D k=13,3.0,13,640.0,999316,7,7.004791277233628e-06,142759.42857142858,260.7531264019058,231.55947198375625,614.4025502054382,0.0,0.8880410186409325,0.0,2.3562614902589627
