id,latitude,longitude,price
0,37.77028,-122.43317,202
1,37.74474,-122.42089,235
2,37.76555,-122.45213,56
3,37.77564,-122.43642,575
4,37.7603,-122.42197,110
5,37.7175,-122.39698,95
6,37.7844,-122.47932,259
7,37.74766,-122.42041,100
8,37.79249,-122.41499,79
9,37.76901,-122.44701,65
10,37.77196,-122.43477,425
11,37.76932,-122.44723,65
12,37.76237,-122.42992,99
13,37.78546,-122.46148,545
14,37.74916,-122.42971,95
15,37.79233,-122.42431,55
16,37.74633,-122.44591,167
17,37.72833,-122.44125,235
18,37.77247,-122.43301,116
19,37.77988,-122.48488,140
20,37.79961,-122.42771,85
21,37.7962,-122.41562,149
22,37.75045,-122.44956,70
23,37.76216,-122.45022,180
24,37.77252,-122.43846,220
25,37.74537,-122.41226,286
26,37.77265,-122.43857,350
27,37.80489,-122.43746,295
28,37.74154,-122.4086,240
29,37.75981,-122.4188,158
30,37.76241,-122.43026,170
31,37.76973,-122.44695,150
32,37.75565,-122.40125,169
33,37.79203,-122.40284,120
34,37.79175,-122.4045,130
35,37.79138,-122.39761,390
36,37.78897,-122.43376,192
37,37.74159,-122.43159,165
38,37.801,-122.42436,126
39,37.73604,-122.43777,249
40,37.76005,-122.42208,164
41,37.73852,-122.39215,62
42,37.73871,-122.41167,160
43,37.71727,-122.43644,85
44,37.73466,-122.41694,423
45,37.75117,-122.42567,120
46,37.77885,-122.50534,175
47,37.80356,-122.40437,175
48,37.74038,-122.41327,150
49,37.74325,-122.43756,295
50,37.7608,-122.40379,696
51,37.75714,-122.43419,97
52,37.76451,-122.39643,290
53,37.77502,-122.48035,79
54,37.78897,-122.41245,148
55,37.741,-122.42018,85
56,37.80121,-122.41339,164
57,37.77255,-122.44985,69
58,37.74402,-122.43729,103
59,37.7617,-122.41887,116
60,37.77689,-122.45594,468
61,37.77085,-122.44814,69
62,37.76123,-122.43326,175
63,37.77175,-122.45012,69
64,37.74403,-122.41755,80
65,37.7369,-122.43451,125
66,37.7592,-122.44888,275
67,37.78618,-122.43209,250
68,37.78887,-122.41306,165
69,37.73218,-122.43726,72
70,37.76962653931911,-122.4321040113865,105
71,37.76829,-122.43968,527
72,37.79434,-122.43167,649
73,37.77031,-122.44948,69
74,37.75158,-122.41158,99
75,37.73825,-122.41451,239
76,37.76459,-122.45483,199
77,37.75131,-122.42167,150
78,37.80144,-122.43865,1149
79,37.79278,-122.41007,1000
80,37.75893,-122.4664,99
81,37.79186,-122.42429,125
82,37.74228,-122.50415,140
83,37.77547,-122.48116,85
84,37.7714,-122.42935,125
85,37.79769,-122.41155,275
86,37.75474,-122.48924,511
87,37.79373,-122.42507,57
88,37.77713,-122.456,102
89,37.73805,-122.41165,95
90,37.75,-122.4235,450
91,37.79337,-122.40198,132
92,37.75594,-122.41105,90
93,37.80023,-122.40844,100
94,37.76761,-122.45139,250
95,37.79352,-122.42649,95
96,37.74778,-122.44566,110
97,37.75265,-122.45092,115
98,37.79183,-122.42425,60
99,37.7699,-122.42917,95
100,37.74684,-122.41548,178
101,37.79361,-122.42469,60
102,37.77907,-122.40503,103
103,37.75758,-122.42043,99
104,37.75334,-122.50794,60
105,37.75533,-122.39927,316
106,37.74289,-122.42855,511
107,37.74188,-122.4127,150
108,37.78239,-122.41833,76
109,37.7517,-122.5051,87
110,37.75674,-122.49178,100
111,37.75059,-122.41415,550
112,37.76864,-122.45267,1169
113,37.77034,-122.43594,546
114,37.73948,-122.44947,250
115,37.7422,-122.42996,120
116,37.79644,-122.40879,550
117,37.7702,-122.42913,300
118,37.77459,-122.40768,199
119,37.74551,-122.43723,119
120,37.74102,-122.42815,80
121,37.80284,-122.42839,147
122,37.77737,-122.47985,95
123,37.79739,-122.4052,120
