id,energy,valence,danceability,acousticness,speechiness,liveness,instrumentalness,loudness,tempo
0,0.461,0.715,0.676,0.0322,0.143,0.358,1.01e-06,-6.746,87.917
1,0.166,0.267,0.42,0.924,0.0763,0.101,5.56e-06,-17.235,77.489
2,0.359,0.12,0.438,0.21,0.0557,0.117,0.0,-9.734,76.332
3,0.0596,0.143,0.266,0.905,0.0363,0.132,7.07e-05,-18.515,181.74
4,0.443,0.167,0.618,0.469,0.0526,0.0829,0.0,-9.681,119.949
5,0.481,0.666,0.688,0.289,0.105,0.189,0.0,-8.807,98.017
6,0.147,0.0765,0.407,0.857,0.0355,0.0913,2.89e-06,-8.822,141.284
7,0.444,0.712,0.703,0.559,0.0417,0.0973,0.0,-9.331,150.96
8,0.414,0.669,0.625,0.294,0.0369,0.151,0.0,-8.7,130.088
9,0.632,0.196,0.442,0.426,0.0295,0.0735,0.00419,-6.77,78.899
10,0.363,0.301,0.627,0.279,0.0291,0.0928,0.0,-8.127,99.905
11,0.303,0.139,0.483,0.694,0.0429,0.115,0.0,-10.058,133.406
12,0.314,0.607,0.489,0.749,0.0331,0.113,0.0,-9.245,124.234
13,0.234,0.209,0.691,0.777,0.0285,0.12,0.0,-6.441,87.103
14,0.78,0.387,0.755,0.124,0.0327,0.121,2.83e-05,-6.084,120.004
15,0.561,0.238,0.489,0.2,0.0274,0.179,4.56e-05,-7.933,83.457
16,0.112,0.414,0.706,0.827,0.0391,0.125,4.03e-06,-18.098,110.154
17,0.0841,0.609,0.795,0.742,0.0461,0.0853,1.17e-05,-18.09,91.803
18,0.414,0.669,0.625,0.294,0.0369,0.151,0.0,-8.7,130.088
19,0.32,0.322,0.717,0.83,0.0283,0.107,0.0,-8.393,107.946
20,0.444,0.712,0.703,0.559,0.0417,0.0973,0.0,-9.331,150.96
21,0.351,0.569,0.678,0.747,0.0266,0.355,0.0,-8.654,90.032
22,0.147,0.0765,0.407,0.857,0.0355,0.0913,2.89e-06,-8.822,141.284
23,0.454,0.515,0.572,0.477,0.0258,0.0974,1.37e-05,-10.286,140.182
24,0.667,0.754,0.796,0.381,0.0392,0.221,0.0,-4.831,97.988
25,0.454,0.33,0.755,0.757,0.0352,0.236,0.0,-9.609,120.06
