dataset,eps,k,beta,n_initial,n_coreset,compression_ratio_achieved,p_over_q_achieved,cost_p_c,cost_q_c,cost_p_c_prime,cost_q_c_prime,cost_qc_over_pc,cost_qcprime_over_pcprime,cost_pcprime_over_pc
Donuts Raw 2D k=9,0.05,9,640.0,1000000,152,0.000152,6578.9473684210525,14375814.841157947,14097846.820286904,16273250.404447598,14528954.491903506,0.9806641902429614,0.8928120769242657,1.1319880357569225
Donuts Raw 2D k=9,0.1,9,640.0,1000000,110,0.00011,9090.90909090909,14375814.841157947,15196656.701803826,16052081.234158553,14877132.10352046,1.057098805856612,0.9268039381623723,1.116603226427309
Donuts Raw 2D k=9,0.2,9,640.0,1000000,53,5.3e-05,18867.924528301886,14375814.841157947,13840167.267198773,15490858.833819639,10314759.534510188,0.9627396721592703,0.6658610503886981,1.0775638810726278
Donuts Raw 2D k=9,0.35,9,640.0,1000000,39,3.9e-05,25641.02564102564,14375814.841157947,19251245.48917996,22803757.149598397,15507560.050948082,1.3391411688236037,0.6800440799827229,1.586258407023389
Donuts Raw 2D k=9,0.5,9,640.0,1000000,24,2.4e-05,41666.666666666664,14375814.841157947,17315836.058549277,19143372.263915453,5840177.126718052,1.2045116224628918,0.3050756703784405,1.33163736980724
Donuts Raw 2D k=9,0.75,9,640.0,1000000,15,1.5e-05,66666.66666666667,14375814.841157947,6791394.389081132,18598539.6918873,2537722.311461636,0.47241804823733363,0.13644739605919665,1.2937381217960386
Donuts Raw 2D k=9,1.0,9,640.0,1000000,15,1.5e-05,66666.66666666667,14375814.841157947,6791394.389081132,18598539.6918873,2537722.311461636,0.47241804823733363,0.13644739605919665,1.2937381217960386
Donuts Raw 2D k=9,1.5,9,640.0,1000000,10,1e-05,100000.0,14375814.841157947,11714033.738228051,36816453.921359055,377129.9050756858,0.8148431144710337,0.01024351519245296,2.5609994513809107
Donuts Raw 2D k=9,2.0,9,640.0,1000000,4,4e-06,250000.0,14375814.841157947,27059244.20911943,74191813.96607639,0.0,1.882275509813109,0.0,5.160877124938009
Donuts Raw 2D k=9,3.0,9,640.0,1000000,4,4e-06,250000.0,14375814.841157947,27059244.20911943,74191813.96607639,0.0,1.882275509813109,0.0,5.160877124938009
