r,g,b,weight,source_index
113.0,120.0,128.0,215.0001241366011,106492
121.0,144.0,128.0,279.0001610888917,1687380
148.0,196.0,84.0,28.00001616662712,190455
24.0,34.0,43.0,301.00017379124154,88749
100.0,31.0,34.0,105.0000606248517,1435110
242.0,190.0,192.0,25.0000144344885,734636
188.0,202.0,215.0,68.00003926180872,102474
69.0,86.0,96.0,440.00025404699755,94608
107.0,73.0,97.0,180.0001039283172,217722
13.0,11.0,16.0,514.0002967730835,200134
15.0,19.0,22.0,257.00014838654175,136945
126.0,160.0,83.0,104.00006004747216,1018157
95.0,130.0,97.0,31.000017898765737,1616272
217.0,16.0,35.0,115.00006639864709,775010
228.0,20.0,34.0,90.0000519641586,794750
225.0,44.0,35.0,247.00014261274637,623902
58.0,98.0,27.0,9.00000519641586,1423591
60.0,98.0,61.0,26.00001501186804,1461705
134.0,167.0,80.0,349.0002015054595,293469
200.0,95.0,100.0,13.00000750593402,752470
245.0,95.0,97.0,14.00000808331356,728182
129.0,68.0,112.0,132.00007621409927,225679
168.0,91.0,99.0,9.00000519641586,252565
103.0,14.0,16.0,295.0001703269643,294161
127.0,14.0,18.0,1212.0006997840023,851043
102.0,23.0,18.0,1665.000961336934,544458
62.0,54.0,8.0,1602.000924962023,1244918
145.0,1.0,24.0,1216.0007020935207,490307
212.0,157.0,162.0,27.000015589247578,277323
255.0,157.0,163.0,5.0000028868977,423054
223.0,187.0,173.0,337.00019457690496,592647
220.0,192.0,92.0,195.00011258901029,491327
255.0,239.0,77.0,107.00006177961077,676019
246.0,224.0,105.0,354.00020439235715,1228456
34.0,5.0,23.0,1798.0010381284128,231602
63.0,14.0,17.0,240.0001385710896,1640239
48.0,28.0,17.0,1427.0008239206036,1616017
161.0,7.0,17.0,338.0001951542845,633747
190.0,4.0,17.0,255.00014723178268,748327
186.0,30.0,18.0,1038.0005993199625,710464
79.0,115.0,67.0,125.0000721724425,1333503
77.0,110.0,81.0,280.0001616662712,1293107
79.0,113.0,80.0,22.000012702349878,1330666
4.0,3.0,9.0,831.0004798023976,155733
9.0,7.0,8.0,1105.0006380043917,179387
7.0,9.0,8.0,326.00018822573,174777
190.0,37.0,21.0,1670.0009642238317,447795
65.0,15.0,16.0,119.00006870816526,1635299
82.0,11.0,17.0,152.00008776169008,321954
69.0,20.0,16.0,1211.0006992066228,1684238
90.0,27.0,20.0,1185.0006841947547,238937
47.0,40.0,48.0,295.0001703269643,198235
60.0,45.0,50.0,167.00009642238317,247291
46.0,50.0,51.0,258.00014896392133,173831
209.0,64.0,20.0,1093.0006310758372,1364042
216.0,95.0,16.0,1418.0008187241876,961223
113.0,133.0,70.0,779.0004497786616,873505
109.0,144.0,76.0,346.00019977332084,1635203
121.0,146.0,78.0,372.00021478518886,769316
110.0,145.0,87.0,1272.000734426775,1430467
26.0,16.0,4.0,4462.002576267508,1671347
18.0,24.0,0.0,6782.00391578804,1377183
24.0,25.0,7.0,4544.00262361263,1372818
29.0,23.0,11.0,5524.003189444578,1581690
163.0,93.0,31.0,1436.0008291170193,384667
134.0,140.0,0.0,171.00009873190135,4442
154.0,163.0,10.0,14.00000808331356,3457
190.0,160.0,14.0,64.00003695229056,1244583
144.0,164.0,49.0,24.00001385710896,167687
167.0,163.0,63.0,151.00008718431053,658783
113.0,104.0,75.0,1468.0008475931647,217110
115.0,121.0,73.0,1485.0008574086169,498871
122.0,103.0,86.0,825.0004763381205,648041
137.0,70.0,17.0,1790.0010335093766,1152523
155.0,83.0,25.0,1312.0007575219565,899557
44.0,66.0,43.0,1058.0006108675532,1551150
47.0,83.0,37.0,1.00000057737954,978193
45.0,65.0,54.0,64.00003695229056,1517564
47.0,84.0,50.0,1.00000057737954,1462693
146.0,156.0,168.0,195.00011258901029,109448
161.0,159.0,172.0,40.0000230951816,177485
152.0,167.0,164.0,165.0000952676241,103443
168.0,162.0,166.0,437.000252314859,202184
12.0,35.0,0.0,267.00015416033716,271712
31.0,53.0,7.0,422.00024365416584,278801
14.0,32.0,16.0,4.00000230951816,373475
28.0,51.0,25.0,273.0001576246144,1367233
76.0,96.0,45.0,1586.0009157239504,1382129
79.0,120.0,44.0,79.00004561298366,1633105
81.0,115.0,38.0,968.0005589033947,1621250
78.0,117.0,54.0,110.00006351174939,1144294
105.0,93.0,9.0,533.0003077432948,861076
127.0,80.0,2.0,1486.0008579859964,1026760
100.0,80.0,27.0,932.0005381177313,1297651
196.0,104.0,31.0,1187.000685349514,1186083
221.0,102.0,22.0,1244.0007182601478,1140518
194.0,114.0,25.0,987.000569873606,944506
209.0,127.0,27.0,647.0003735645623,1191858
169.0,93.0,44.0,1487.000858563376,1239239
164.0,77.0,60.0,1593.0009197656073,351075
175.0,89.0,54.0,1558.0008995573232,1421808
223.0,192.0,14.0,101.00005831533353,1255450
255.0,225.0,23.0,8.00000461903632,708709
216.0,193.0,63.0,101.00005831533353,1278815
255.0,224.0,35.0,23.00001327972942,558173
69.0,79.0,68.0,1320.0007621409927,1731601
81.0,77.0,65.0,1097.0006333853553,212644
68.0,72.0,81.0,413.00023845775,109454
83.0,79.0,80.0,33.00001905352482,181602
75.0,83.0,94.0,475.00027425528145,91664
85.0,95.0,86.0,667.0003851121531,807952
218.0,40.0,4.0,1702.000982699977,725416
206.0,37.0,18.0,1180.0006813078571,434949
217.0,40.0,22.0,544.0003140944698,614025
203.0,48.0,28.0,1182.0006824626162,535229
212.0,48.0,23.0,676.000390308569,727217
217.0,0.0,0.0,1433.0008273848807,1450082
204.0,7.0,27.0,1016.0005866176126,760187
215.0,4.0,21.0,742.0004284156187,781906
199.0,20.0,23.0,655.0003781835986,242804
214.0,28.0,29.0,289.000166862687,748013
208.0,68.0,33.0,815.000470564325,378021
220.0,91.0,34.0,1386.0008002480424,705239
211.0,70.0,63.0,444.00025635651576,315543
216.0,91.0,59.0,1742.0010057951586,1325481
163.0,116.0,0.0,993.0005733378832,1635777
174.0,97.0,17.0,1120.0006466650848,1194549
182.0,97.0,30.0,1144.0006605221938,489831
168.0,122.0,28.0,731.0004220644437,1339842
186.0,120.0,24.0,1093.0006310758372,1268699
216.0,121.0,73.0,1544.0008914740097,1268158
207.0,108.0,87.0,1101.0006356948734,506633
221.0,111.0,86.0,795.0004590167342,1139446
111.0,148.0,104.0,485.00028002907686,1640939
110.0,134.0,120.0,425.00024538630447,1719976
114.0,132.0,116.0,1047.0006045163784,1438280
110.0,144.0,119.0,24.00001385710896,1432510
123.0,158.0,116.0,1383.0007985159039,1381938
205.0,112.0,32.0,859.0004959690248,517665
214.0,125.0,41.0,802.000463058391,454827
220.0,110.0,57.0,1701.0009821225974,981669
206.0,123.0,55.0,1384.0007990932834,360072
216.0,119.0,51.0,1269.000732694636,959943
125.0,66.0,34.0,1640.0009469024455,356199
104.0,94.0,41.0,1698.0009803904588,935898
107.0,67.0,57.0,848.0004896178499,216032
119.0,73.0,60.0,676.000390308569,368040
125.0,82.0,48.0,1493.000862027653,912675
205.0,150.0,0.0,1171.0006761114412,1448458
195.0,134.0,27.0,1018.0005877723717,1151855
221.0,133.0,25.0,773.0004463143844,597996
199.0,154.0,29.0,309.00017841027784,880844
208.0,149.0,19.0,743.0004289929982,1258803
255.0,141.0,6.0,1789.001032931997,841263
224.0,138.0,25.0,558.0003221777833,1104235
255.0,143.0,16.0,457.00026386244974,525854
235.0,147.0,21.0,646.0003729871828,797220
240.0,147.0,26.0,574.000331415856,654378
197.0,165.0,106.0,1671.0009648012112,439000
222.0,167.0,102.0,1150.000663986471,635328
207.0,178.0,110.0,657.0003793383578,968393
203.0,166.0,114.0,1183.0006830399957,321718
209.0,172.0,120.0,717.0004139811301,419024
169.0,35.0,32.0,1464.0008452836464,1247500
180.0,46.0,34.0,1558.0008995573232,288326
171.0,39.0,52.0,134.00007736885834,523816
178.0,36.0,48.0,462.0002667493475,247773
161.0,60.0,48.0,621.0003585526944,1432213
177.0,52.0,50.0,1092.0006304984577,759835
143.0,66.0,40.0,1646.0009503667227,1047826
128.0,90.0,43.0,1490.0008602955145,354524
158.0,85.0,44.0,1212.0006997840023,436837
131.0,79.0,55.0,757.0004370763118,415240
145.0,78.0,59.0,1063.000613754451,882038
139.0,95.0,58.0,1302.000751748161,329601
146.0,90.0,55.0,1086.0006270341803,1373524
94.0,129.0,29.0,8.00000461903632,276705
97.0,128.0,25.0,74.00004272608595,1048530
117.0,165.0,30.0,5.0000028868977,163732
95.0,131.0,43.0,148.0000854521719,1592075
120.0,162.0,60.0,32.00001847614528,1603899
252.0,204.0,138.0,1056.0006097127941,1156281
232.0,211.0,128.0,998.0005762247808,1075108
253.0,210.0,132.0,1393.000804289699,799204
230.0,196.0,159.0,1003.0005791116786,343321
247.0,193.0,149.0,707.0004082073348,650156
237.0,215.0,158.0,1404.000810640874,652710
245.0,223.0,150.0,1163.000671492405,829207
241.0,171.0,13.0,1638.0009457476865,1453735
233.0,176.0,7.0,1542.0008903192506,1577535
251.0,190.0,11.0,1161.000670337646,1542329
239.0,171.0,26.0,592.0003418086876,658259
