r,g,b
85.0,43.0,0.0
24.0,28.0,11.0
232.0,207.0,42.0
180.0,77.0,2.0
57.0,59.0,35.0
148.0,52.0,4.0
102.0,131.0,83.0
156.0,37.0,5.0
123.0,85.0,38.0
192.0,186.0,138.0
11.0,13.0,8.0
115.0,20.0,0.0
69.0,73.0,56.0
204.0,134.0,2.0
165.0,115.0,18.0
220.0,166.0,104.0
209.0,70.0,29.0
197.0,87.0,54.0
78.0,98.0,70.0
114.0,31.0,17.0
227.0,209.0,163.0
185.0,66.0,44.0
2.0,3.0,0.0
182.0,91.0,2.0
255.0,171.0,2.0
96.0,115.0,83.0
228.0,126.0,25.0
223.0,109.0,59.0
161.0,5.0,9.0
145.0,0.0,0.0
143.0,144.0,104.0
87.0,66.0,35.0
193.0,114.0,84.0
39.0,11.0,0.0
66.0,38.0,17.0
145.0,89.0,4.0
87.0,16.0,10.0
100.0,54.0,2.0
169.0,25.0,25.0
154.0,88.0,66.0
245.0,160.0,140.0
230.0,120.0,83.0
147.0,149.0,144.0
211.0,4.0,0.0
230.0,93.0,0.0
127.0,78.0,9.0
201.0,137.0,127.0
203.0,140.0,87.0
213.0,164.0,69.0
214.0,167.0,17.0
124.0,49.0,10.0
58.0,15.0,8.0
117.0,129.0,109.0
255.0,197.0,135.0
38.0,40.0,29.0
168.0,109.0,77.0
183.0,60.0,19.0
219.0,208.0,144.0
102.0,93.0,64.0
137.0,127.0,68.0
255.0,183.0,82.0
91.0,130.0,51.0
68.0,95.0,52.0
64.0,70.0,24.0
