r,g,b,weight,source_index
120.0,120.0,128.0,215.00037241023327,157722
118.0,134.0,167.0,279.00048326723294,195265
48.0,62.0,71.0,337.0005837313889,93623
138.0,58.0,121.0,166.0002875353429,235480
198.0,63.0,69.0,123.00021305329624,277525
183.0,194.0,116.0,28.000048499937357,653858
30.0,28.0,39.0,713.001235016262,192649
28.0,36.0,38.0,301.0005213743266,91588
154.0,19.0,33.0,1046.0018118190883,565314
181.0,30.0,37.0,1214.0021028187125,252848
85.0,30.0,62.0,860.0014896409331,253246
126.0,19.0,35.0,105.00018187476508,279265
176.0,192.0,163.0,187.00032391029592,1041881
185.0,187.0,199.0,170.00029446390536,102490
209.0,176.0,197.0,25.000043303515497,242376
186.0,194.0,197.0,68.00011778556215,168751
65.0,98.0,19.0,848.0014688552457,272753
106.0,104.0,4.0,1094.0018949618382,1043477
225.0,91.0,30.0,1470.002546246711,751696
237.0,95.0,49.0,1562.002705603648,655568
73.0,87.0,98.0,440.0007621418727,96702
117.0,90.0,107.0,180.00031178531157,243363
92.0,113.0,96.0,478.0008279632163,1686394
11.0,15.0,16.0,514.0008903202786,179756
26.0,13.0,20.0,2376.004115566113,212774
13.0,22.0,21.0,257.0004451601393,89677
194.0,175.0,46.0,2000.0034642812398,1055187
93.0,128.0,88.0,975.0016888371043,1598487
120.0,160.0,90.0,104.00018014262446,1278294
95.0,128.0,101.0,31.000053696359213,1231800
125.0,162.0,119.0,467.00080890966944,1635011
226.0,16.0,1.0,1268.0021963543059,1537870
224.0,50.0,0.0,1211.0020976222906,1648735
192.0,31.0,37.0,115.00019919617128,374549
227.0,23.0,32.0,90.00015589265578,793785
235.0,62.0,45.0,247.0004278387331,739263
63.0,96.0,17.0,9.000015589265578,158971
62.0,96.0,63.0,26.000045035656115,1397887
153.0,166.0,76.0,349.00060451707634,172628
178.0,163.0,68.0,685.0011865163245,1279811
245.0,86.0,65.0,632.0010947128717,700553
214.0,93.0,98.0,13.000022517828057,346662
253.0,92.0,100.0,14.000024249968678,253891
224.0,121.0,104.0,950.0016455335889,450475
151.0,81.0,69.0,1442.0024977467738,347586
143.0,91.0,114.0,132.0002286425618,241474
177.0,87.0,96.0,9.000015589265578,567944
140.0,120.0,109.0,1329.0023020148838,139931
187.0,121.0,97.0,1401.0024267290084,1058783
255.0,228.0,151.0,740.0012817840586,441079
194.0,206.0,184.0,484.00083835606,694710
255.0,236.0,189.0,651.0011276235435,442318
104.0,15.0,21.0,295.0005109814829,386466
124.0,6.0,18.0,1212.0020993544313,375591
104.0,27.0,19.0,1665.002884014132,837611
112.0,18.0,16.0,3073.005322868125,263610
50.0,36.0,10.0,5160.008937845599,908341
37.0,52.0,9.0,2187.0037881915355,1066729
59.0,48.0,2.0,1602.002774889273,671307
48.0,46.0,25.0,3985.00690258037,973544
56.0,61.0,29.0,6693.011593217168,799943
157.0,27.0,14.0,5831.010100111954,686696
138.0,12.0,16.0,2125.003680798817,370670
145.0,10.0,17.0,1216.0021062829937,555453
129.0,28.0,20.0,3823.0066219735895,810560
153.0,20.0,25.0,3272.005667564108,455739
210.0,155.0,135.0,1418.002456175399,584300
232.0,156.0,130.0,1442.0024977467738,781009
194.0,151.0,178.0,27.000046767796736,234545
225.0,159.0,160.0,5.000008660703099,516512
211.0,177.0,165.0,337.0005837313889,593636
254.0,180.0,169.0,1989.0034452276927,897788
218.0,196.0,74.0,195.00033776742086,1231387
255.0,227.0,67.0,107.00018533904633,676020
219.0,196.0,118.0,1942.0033638170837,925921
255.0,232.0,107.0,354.0006131777794,1251850
42.0,9.0,0.0,8531.014776891629,608696
36.0,13.0,29.0,1798.0031143888345,216882
49.0,0.0,30.0,240.00041571374877,243409
37.0,31.0,17.0,5061.008766363677,91440
48.0,30.0,20.0,1427.0024717646645,1623924
75.0,77.0,40.0,7165.012410787541,196521
80.0,64.0,38.0,3019.005229332531,945792
74.0,93.0,38.0,6356.01100948578,1605905
87.0,83.0,38.0,3314.005740314014,783184
80.0,79.0,61.0,2462.004264530206,193887
87.0,80.0,51.0,6088.010545272094,1684656
101.0,42.0,2.0,8635.014957034253,871019
97.0,51.0,15.0,6850.011865163246,1218402
123.0,57.0,7.0,8312.014397552832,689816
96.0,32.0,22.0,2844.004926207923,824045
119.0,44.0,25.0,3280.005681421233,479600
109.0,59.0,22.0,2537.0043944407525,349572
115.0,61.0,27.0,2381.0041242268157,1121284
151.0,33.0,0.0,8067.01397317838,758484
142.0,49.0,5.0,6321.010948860858,384750
150.0,56.0,5.0,6787.011756038387,721930
140.0,45.0,27.0,3097.0053644394998,743245
149.0,42.0,26.0,2792.0048361366107,842570
136.0,52.0,18.0,2669.0046230833145,1417081
147.0,51.0,29.0,2664.004614422611,479386
167.0,23.0,0.0,8767.015185676813,1406138
187.0,29.0,0.0,4684.008113346663,1534982
164.0,9.0,17.0,338.0005854635295,388388
181.0,12.0,19.0,255.00044169585806,726604
174.0,25.0,27.0,2143.0037119773483,496159
177.0,19.0,18.0,1038.0017979619633,733569
66.0,101.0,68.0,4780.008279632163,1397890
79.0,113.0,76.0,125.00021651757748,1557570
79.0,101.0,80.0,280.00048499937355,1671117
84.0,108.0,86.0,3538.006128313513,1678034
79.0,114.0,82.0,22.000038107093637,1655330
91.0,118.0,87.0,5609.009715576736,1525869
9.0,4.0,0.0,7408.012831697712,1075211
7.0,11.0,0.0,14817.025665127563,235195
1.0,6.0,12.0,831.001439408855,88816
10.0,4.0,8.0,1105.001914015385,1587769
6.0,11.0,14.0,326.0005646778421,178763
9.0,9.0,9.0,14857.02573441319,174384
163.0,41.0,2.0,4982.008629524568,1519657
185.0,37.0,1.0,6080.010531414969,1472352
169.0,51.0,11.0,7770.013458732616,773131
177.0,56.0,0.0,7799.013508964694,1584085
166.0,47.0,23.0,2058.0035647453956,309661
176.0,42.0,31.0,1670.002892674835,740073
169.0,62.0,28.0,3032.0052518503594,1455667
179.0,55.0,31.0,2016.0034919954896,1324428
71.0,8.0,3.0,8569.014842712972,338692
81.0,12.0,7.0,7655.013259536445,1630475
66.0,19.0,13.0,8639.014963962814,1666393
82.0,19.0,4.0,7565.013103643789,1133145
70.0,14.0,17.0,119.00020612473377,290443
95.0,13.0,19.0,152.00026328537422,322931
70.0,21.0,17.0,1211.0020976222906,1684239
85.0,27.0,23.0,1185.0020525866346,510739
73.0,32.0,14.0,6096.010559129219,887017
86.0,32.0,8.0,8601.014898141471,417566
64.0,51.0,7.0,2220.003845352176,215352
81.0,55.0,4.0,4865.008426864116,1183637
76.0,37.0,20.0,2538.004396172893,1032993
81.0,34.0,16.0,2509.0043459408153,920645
67.0,48.0,18.0,3218.0055740285147,1084410
86.0,60.0,23.0,2955.0051184755316,558884
37.0,43.0,33.0,6178.01070116475,163949
50.0,46.0,37.0,2001.0034660133804,124795
47.0,61.0,38.0,5955.010314897391,1508086
45.0,43.0,54.0,295.0005109814829,179463
57.0,32.0,51.0,167.0002892674835,215727
43.0,59.0,48.0,258.0004468922799,1550170
61.0,63.0,52.0,2667.0046196190333,278915
194.0,76.0,6.0,7023.012164823573,1270094
208.0,69.0,0.0,3807.0065942593396,1089676
202.0,87.0,6.0,5962.010327022375,1166314
216.0,85.0,15.0,6477.011219074795,1093626
194.0,68.0,28.0,1887.0032685493495,1350124
209.0,67.0,17.0,1093.0018932296975,1351216
203.0,84.0,16.0,2314.004008173394,1255281
213.0,94.0,26.0,1418.002456175399,1256274
101.0,131.0,77.0,5714.009897451501,1708813
117.0,137.0,78.0,779.0013493375428,658805
107.0,147.0,77.0,346.0005993206545,1280280
122.0,148.0,77.0,372.0006443563106,256949
117.0,140.0,88.0,3537.0061265813724,1079351
