point_index,coreset_index
0,51
1,13
2,32
3,2
4,50
5,63
6,58
7,2
8,14
9,17
10,24
11,44
12,52
13,24
14,57
15,45
16,35
17,56
18,13
19,13
20,38
21,38
22,13
23,13
24,43
25,59
26,23
27,23
28,45
29,59
30,14
31,14
32,14
33,13
34,58
35,41
36,51
37,52
38,39
39,59
40,23
41,45
42,13
43,13
44,58
45,56
46,57
47,12
48,59
49,14
50,56
51,43
52,31
53,39
54,61
55,51
56,40
57,62
58,13
59,24
60,52
61,63
62,13
63,51
64,50
65,14
66,32
67,61
68,51
69,58
70,22
71,50
72,2
73,56
74,39
75,23
76,31
77,42
78,13
79,63
80,24
81,60
82,63
83,59
84,23
85,21
86,40
87,43
88,43
89,14
90,13
91,14
92,43
93,43
94,61
95,60
96,63
97,59
98,52
99,44
100,62
101,11
102,6
103,24
104,13
105,39
106,11
107,13
108,24
109,56
110,45
111,40
112,58
113,51
114,24
115,29
116,13
117,60
118,40
119,43
120,15
121,40
122,52
123,15
124,14
125,24
126,59
127,14
128,51
129,63
130,57
131,13
132,38
133,59
134,53
135,45
136,53
137,14
138,52
139,13
140,24
141,13
142,2
143,63
144,56
145,31
146,59
147,56
148,23
149,23
150,31
151,45
152,14
153,18
154,31
155,39
156,63
157,63
158,6
159,13
160,45
161,43
162,60
163,6
164,52
165,52
166,13
167,32
168,38
169,23
170,59
171,32
172,44
173,14
174,6
175,52
176,39
177,63
178,45
179,59
180,42
181,14
182,40
183,31
184,59
185,60
186,31
187,6
188,15
189,13
190,24
191,24
192,57
193,31
194,43
195,30
196,11
197,23
198,61
199,31
200,63
201,58
202,6
203,13
204,57
205,11
206,59
207,14
208,2
209,52
210,24
211,57
212,38
213,31
214,63
215,63
216,39
217,38
218,40
219,52
220,41
221,13
222,44
223,31
224,45
225,57
226,23
227,14
228,31
229,14
230,14
231,21
232,35
233,57
234,40
235,41
236,32
237,14
238,11
239,2
240,42
241,23
242,45
243,45
244,59
245,41
246,15
247,21
248,24
249,23
250,11
251,59
252,59
253,29
254,57
255,31
256,52
257,57
258,40
259,63
260,13
261,24
262,51
263,40
264,23
265,13
266,61
267,22
268,15
269,44
270,50
271,3
272,61
273,50
274,57
275,13
276,43
277,15
278,44
279,13
280,59
281,11
282,23
283,31
284,24
285,57
286,43
287,56
288,13
289,57
290,13
291,43
292,23
293,59
294,24
295,23
296,39
297,42
298,23
299,14
300,14
301,22
302,40
303,60
304,63
305,14
306,31
307,59
308,57
309,13
310,41
311,50
312,14
313,44
314,44
315,62
316,38
317,2
318,59
319,23
320,14
321,59
322,38
323,24
324,56
325,15
326,14
327,15
328,50
329,39
330,61
331,15
332,62
333,24
334,14
335,50
336,61
337,11
338,59
339,5
340,14
341,57
342,35
343,18
344,31
345,60
346,57
347,43
348,11
349,14
350,23
351,15
352,51
353,13
354,45
355,51
356,24
357,56
358,38
359,23
360,23
361,15
362,41
363,6
364,24
365,51
366,32
367,38
368,52
369,29
370,60
371,24
372,51
373,63
374,61
375,59
376,3
377,13
378,43
379,13
380,15
381,51
382,52
383,32
384,42
385,14
386,50
387,41
388,29
389,52
390,45
391,14
392,32
393,31
394,60
395,29
396,6
397,38
398,61
399,50
400,12
401,18
402,51
403,2
404,52
405,45
406,11
407,40
408,40
409,14
410,60
411,18
412,32
413,51
414,15
415,59
416,32
417,43
418,23
419,24
420,57
421,60
422,41
423,43
424,21
425,42
426,40
427,43
428,44
429,62
430,50
431,53
432,35
433,43
434,35
435,50
436,31
437,61
438,15
439,4
440,51
441,13
442,59
443,35
444,14
445,50
446,14
447,13
448,40
449,15
450,31
451,50
452,57
453,14
454,41
455,39
456,42
457,14
458,23
459,51
460,15
461,32
462,63
463,42
464,61
465,60
466,23
467,45
468,23
469,51
470,22
471,45
472,38
473,6
474,59
475,15
476,38
477,40
478,59
479,14
480,59
481,13
482,50
483,41
484,14
485,63
486,4
487,14
488,57
489,39
490,22
491,52
492,6
493,14
494,31
495,44
496,59
497,38
498,14
499,14
500,62
501,14
502,2
503,31
504,2
505,35
506,45
507,62
508,62
509,57
510,42
511,50
512,38
513,29
514,38
515,52
516,31
517,44
518,52
519,63
520,44
521,15
522,15
523,41
524,6
525,52
526,35
527,56
528,14
529,31
530,45
531,24
532,59
533,35
534,57
535,14
536,32
537,21
538,57
539,52
540,60
541,15
542,57
543,2
544,62
545,5
546,52
547,39
548,53
549,31
550,39
551,51
552,63
553,2
554,50
555,45
556,23
557,43
558,40
559,15
560,57
561,50
562,44
563,52
564,24
565,31
566,43
567,43
568,14
569,40
570,29
571,23
572,51
573,14
574,24
575,44
576,52
577,56
578,40
579,60
580,38
581,38
582,14
583,33
584,31
585,57
586,60
587,40
588,41
589,13
590,31
591,45
592,13
593,14
594,33
595,45
596,61
597,57
598,6
599,14
600,50
601,50
602,40
603,57
604,29
605,29
606,39
607,56
608,21
609,61
610,42
611,45
612,23
613,24
614,40
615,44
616,42
617,52
618,13
619,23
620,44
621,23
622,50
623,59
624,57
625,62
626,32
627,14
628,56
629,31
630,60
631,23
632,13
633,14
634,5
635,13
636,60
637,13
638,13
639,43
640,63
641,31
642,14
643,43
644,51
645,52
646,45
647,51
648,57
649,14
650,45
651,40
652,58
653,56
654,14
655,22
656,43
657,11
658,23
659,41
660,59
661,39
662,57
663,14
664,2
665,62
666,59
667,51
668,13
669,45
670,42
671,45
