dataset,eps,k,beta,n_initial,n_coreset,compression_ratio_achieved,p_over_q_achieved,cost_p_c,cost_q_c,cost_p_c_prime,cost_q_c_prime,cost_qc_over_pc,cost_qcprime_over_pcprime,cost_pcprime_over_pc
Spotify Raw 6D k=8,0.05,8,640.0,114000,82131,0.7204473684210526,1.388026445556489,13728.601730240032,13728.838379448678,12864.47956281798,12864.534908651114,1.0000172376774632,1.0000043022209226,0.937056796868202
Spotify Raw 6D k=8,0.1,8,640.0,114000,45304,0.3974035087719298,2.5163340985343456,13728.601730240032,13723.8664835446,12913.833812779058,12902.892152600534,0.9996550816471715,0.9991527179041366,0.9406517915319604
Spotify Raw 6D k=8,0.2,8,640.0,114000,7539,0.06613157894736842,15.121368881814565,13728.601730240032,13681.346646819562,13285.415810824274,13265.532630499793,0.9965579099496796,0.9985033829119385,0.9677180583919518
Spotify Raw 6D k=8,0.35,8,640.0,114000,1222,0.010719298245614035,93.28968903436989,13728.601730240032,13396.582646681149,13867.652502072931,13151.504364170189,0.9758155207585676,0.9483583729981918,1.0101285458319191
Spotify Raw 6D k=8,0.5,8,640.0,114000,248,0.002175438596491228,459.6774193548387,13728.601730240032,14032.297483242857,14340.254856492038,11935.880078251008,1.0221213899980706,0.8323338879048907,1.0445531991000012
Spotify Raw 6D k=8,0.75,8,640.0,114000,56,0.0004912280701754386,2035.7142857142858,13728.601730240032,11113.452208101982,16117.702073580542,7410.728861675862,0.8095108610822578,0.4597881774861205,1.1740235743075007
Spotify Raw 6D k=8,1.0,8,640.0,114000,56,0.0004912280701754386,2035.7142857142858,13728.601730240032,11113.452208101982,16117.702073580542,7410.728861675862,0.8095108610822578,0.4597881774861205,1.1740235743075007
Spotify Raw 6D k=8,1.5,8,640.0,114000,1,8.771929824561403e-06,114000.0,13728.601730240032,5294.895320439301,67947.61309942318,0.0,0.38568351129133704,0.0,4.949346949861235
Spotify Raw 6D k=8,2.0,8,640.0,114000,1,8.771929824561403e-06,114000.0,13728.601730240032,5294.895320439301,67947.61309942318,0.0,0.38568351129133704,0.0,4.949346949861235
Spotify Raw 6D k=8,3.0,8,640.0,114000,1,8.771929824561403e-06,114000.0,13728.601730240032,5294.895320439301,67947.61309942318,0.0,0.38568351129133704,0.0,4.949346949861235
