dataset,eps,k,beta,n_initial,n_coreset,compression_ratio_achieved,p_over_q_achieved,cost_p_c,cost_q_c,cost_p_c_prime,cost_q_c_prime,cost_qc_over_pc,cost_qcprime_over_pcprime,cost_pcprime_over_pc
Uber Pickups Raw 2D k=13,0.05,13,640.0,742263,226,0.0003044742901101092,3284.349557522124,108.54662130999843,110.27526033999969,110.71770100000094,105.73835229000207,1.0159253140184294,0.9550266247851477,1.0200013566871153
Uber Pickups Raw 2D k=13,0.1,13,640.0,742263,136,0.000183223466614933,5457.816176470588,108.54662130999843,112.04098131000035,109.27169384000014,97.2494200099932,1.0321922502776237,0.8899781507220853,1.0066798258780527
Uber Pickups Raw 2D k=13,0.2,13,640.0,742263,69,9.295896467963511e-05,10757.434782608696,108.54662130999843,102.75314849998398,119.66448942999648,85.95590615999826,0.9466268711075874,0.7183075494612988,1.1024248197301925
Uber Pickups Raw 2D k=13,0.35,13,640.0,742263,40,5.3889254886744996e-05,18556.575,108.54662130999843,104.17194823998153,143.0108515599897,71.0862345099861,0.9596977499877839,0.4970688149505011,1.3175062460172282
Uber Pickups Raw 2D k=13,0.5,13,640.0,742263,28,3.77224784207215e-05,26509.39285714286,108.54662130999843,73.64909739000773,129.85510810999753,35.93924470000957,0.6785019791603939,0.276764196827484,1.1963072322550157
Uber Pickups Raw 2D k=13,0.75,13,640.0,742263,25,3.3680784304215624e-05,29690.52,108.54662130999843,138.97743545994032,140.04656224999704,39.35869450000671,1.2803478706447664,0.28104006173137996,1.2901973415647632
Uber Pickups Raw 2D k=13,1.0,13,640.0,742263,19,2.5597396071203872e-05,39066.47368421053,108.54662130999843,88.06501507999458,142.512316159995,11.134008089998913,0.8113105135579448,0.0781266376830129,1.3129134231916249
Uber Pickups Raw 2D k=13,1.5,13,640.0,742263,10,1.3472313721686249e-05,74226.3,108.54662130999843,75.81139160997165,255.7985963900129,0.0,0.6984223985513267,0.0,2.3565781532663035
Uber Pickups Raw 2D k=13,2.0,13,640.0,742263,10,1.3472313721686249e-05,74226.3,108.54662130999843,75.81139160997165,255.7985963900129,0.0,0.6984223985513267,0.0,2.3565781532663035
Uber Pickups Raw 2D k=13,3.0,13,640.0,742263,7,9.430619605180375e-06,106037.57142857143,108.54662130999843,133.93603568992293,940.1824809299038,0.0,1.2339033133736594,0.0,8.66155454295381
