x0,x1,x2,x3,x4,x5,weight,source_index
0.29,0.486,0.0449,0.217,3.17e-05,0.232,1721.468118523458,69656
0.825,0.414,0.144,0.00265,0.0,0.106,2668.725706113066,51573
0.482,0.46,0.577,0.357,0.0,0.434,2.000544007581009,15391
0.897,0.498,0.651,0.288,0.0,0.247,25.00680009476261,14427
0.444,0.759,0.515,0.0533,1.22e-06,0.232,45.012240170572696,33330
0.869,0.802,0.504,0.0978,0.0,0.346,56.015232212268245,87153
0.367,0.52,0.0321,0.644,0.000142,0.389,1054.2866919951916,76203
0.625,0.533,0.0596,0.659,0.00266,0.139,1648.4482622467513,99108
0.436,0.368,0.512,0.92,0.452,0.188,15.004080056857566,105911
0.6,0.476,0.931,0.562,7.15e-06,0.457,84.02284831840237,18518
0.465,0.853,0.937,0.911,0.0,0.299,158.04297659889968,18623
0.505,0.8,0.95,0.773,0.0,0.241,324.0881292281234,18454
0.464,0.34,0.0343,0.216,0.909,0.0382,577.1569461871211,54331
0.594,0.418,0.0285,0.107,0.917,0.0375,779.211890952803,54032
0.904,0.379,0.536,0.125,0.891,0.354,1.0002720037905044,24254
0.48,0.926,0.679,0.000644,0.561,0.217,5.001360018952522,27424
0.54,0.983,0.578,0.0487,0.922,0.0695,4.001088015162018,109683
0.648,0.374,0.12,0.717,0.823,0.158,1549.4213338714912,59969
0.471,0.652,0.0621,0.708,0.894,0.31,254.06908896278813,54920
0.521,0.552,0.0341,0.756,0.886,0.342,224.06092884907298,54902
0.533,0.331,0.588,0.982,0.652,0.23,5.001360018952522,15185
0.558,0.965,0.531,0.763,0.836,0.16,1.0002720037905044,59644
0.499,0.469,0.0324,0.243,6.19e-06,0.528,264.0718090006932,69547
0.675,0.459,0.06,0.287,0.000576,0.521,2253.6128245400064,34851
0.5,0.481,0.506,0.211,0.0,0.516,2.000544007581009,111105
0.685,0.435,0.622,0.402,0.0,0.765,36.00979213645816,98234
0.429,0.829,0.509,0.0973,0.0,0.555,5.001360018952522,83285
0.653,0.592,0.545,0.31,0.0,0.57,50.01360018952522,36234
0.285,0.471,0.0319,0.918,0.0,0.589,1025.278803885267,26689
0.422,0.657,0.0311,0.703,9.54e-06,0.778,1038.2823399345436,96913
0.496,0.476,0.95,0.746,0.0,0.555,6.001632022743026,18679
0.593,0.463,0.927,0.602,0.0,0.634,94.02556835630742,18452
0.472,0.66,0.539,0.75,0.0,0.935,45.012240170572696,18636
0.506,0.54,0.918,0.923,0.0,0.656,213.05793680737744,18140
0.363,0.499,0.0335,0.00163,0.522,0.532,13.003536049276557,38237
0.808,0.384,0.134,0.345,0.722,0.923,291.0791531030368,13917
0.403,0.925,0.0537,0.000435,0.755,0.543,432.1175056374979,526
0.826,0.924,0.0895,0.00129,0.824,0.59,2142.5826321192603,23298
0.411,0.0173,0.763,7.41e-05,0.913,0.631,1.0002720037905044,113520
0.408,0.497,0.0374,0.822,0.839,0.928,300.0816011371513,92929
0.721,0.444,0.392,0.613,0.89,0.713,498.1354578876712,105358
0.289,0.599,0.0392,0.893,0.814,0.804,83.02257631461187,75049
0.7,0.684,0.0325,0.801,0.877,0.8,236.06419289455903,75503
0.401,0.448,0.552,0.918,0.759,0.695,1.0002720037905044,16124
0.557,0.000544,0.508,0.996,0.937,0.603,2.000544007581009,79886
0.708,0.598,0.0291,0.037,0.0,0.698,2834.7708587422894,81722
0.789,0.572,0.115,0.203,0.0,0.689,1651.4490782581229,19844
