x0,x1,x2,x3,x4,x5,x6,x7,x8,weight,source_index
0.111,0.0344,0.0766,0.537,0.0402,0.111,0.889,-22.735,175.415,342.0,59179
0.743,0.68,0.738,0.255,0.0377,0.449,0.0,-2.12,131.78,2907.0,35140
0.996,0.382,0.643,0.0059,0.0775,0.163,0.0,-2.635,139.966,2135.0,39473
0.774,0.55,0.796,0.267,0.0928,0.0915,0.0,-3.379,99.902,2562.0,69364
0.849,0.585,0.698,0.32,0.0343,0.541,0.0,-3.125,110.953,1506.0,97854
0.949,0.152,0.51,0.0245,0.0507,0.669,0.00017,-3.003,75.023,183.0,10302
0.855,0.573,0.812,0.0789,0.0554,0.108,0.000167,-3.725,90.04,855.0,88203
0.936,0.841,0.762,0.179,0.0606,0.0263,0.000134,-3.736,160.069,1362.0,35463
0.628,0.395,0.651,0.0173,0.158,0.113,0.0,-3.756,175.926,1916.0,89928
0.0652,0.307,0.256,0.99,0.0378,0.0816,0.929,-26.663,185.015,52.0,79247
0.075,0.0455,0.371,0.984,0.0686,0.108,0.898,-19.67,214.864,4.0,101970
0.397,0.697,0.666,0.0186,0.216,0.0932,0.791,-14.295,216.108,35.0,13282
0.342,0.221,0.8,0.433,0.0519,0.112,0.69,-18.103,128.115,1704.0,105629
0.472,0.188,0.395,0.312,0.0392,0.0687,0.0,-6.5,123.223,11064.0,67449
0.211,0.331,0.554,0.923,0.029,0.117,0.000438,-15.603,130.071,1418.0,19501
0.551,0.318,0.825,0.0687,0.0685,0.0953,0.903,-4.818,133.99,7010.0,10142
0.199,0.377,0.444,0.856,0.0285,0.222,0.0,-12.465,91.811,1271.0,52967
0.954,0.239,0.228,5.74e-06,0.192,0.0856,0.135,-4.264,93.682,7082.0,42926
0.297,0.123,0.706,0.468,0.132,0.0725,0.0,-13.652,104.049,1205.0,15110
0.902,0.278,0.293,0.000566,0.0564,0.446,0.712,-6.538,104.193,7014.0,47223
0.367,0.385,0.559,0.296,0.033,0.238,1.5e-06,-15.487,110.204,1294.0,52121
0.709,0.417,0.559,0.664,0.0396,0.117,0.000119,-7.219,112.01,5782.0,55338
0.176,0.0378,0.478,0.948,0.0342,0.081,0.943,-17.971,116.997,1694.0,4912
0.761,0.463,0.636,0.00377,0.035,0.0851,0.00784,-7.752,120.837,7219.0,109051
0.686,0.898,0.66,0.0509,0.0402,0.131,0.0526,-14.91,143.095,1009.0,104322
0.685,0.38,0.339,0.126,0.0393,0.18,0.0,-4.203,139.547,6117.0,40570
0.375,0.612,0.462,0.642,0.0309,0.189,0.0,-13.184,145.35,657.0,80287
0.586,0.507,0.58,0.344,0.0357,0.0755,0.0,-6.883,147.988,4926.0,53556
0.398,0.037,0.432,0.337,0.0316,0.0884,0.287,-11.619,76.349,1438.0,75595
0.434,0.186,0.165,0.316,0.0288,0.213,0.171,-8.163,77.983,4307.0,2082
0.149,0.0739,0.699,0.538,0.0381,0.0916,0.931,-12.203,83.988,1280.0,105778
0.626,0.322,0.727,0.0469,0.0726,0.126,2.58e-05,-8.415,86.97,4567.0,19303
0.731,0.611,0.635,0.163,0.06,0.0874,7.61e-06,-5.703,187.997,1342.0,67317
0.894,0.623,0.691,0.291,0.115,0.104,0.0,-1.681,184.018,383.0,51187
0.794,0.799,0.535,0.102,0.161,0.144,1.52e-05,-4.933,203.712,690.0,21305
0.932,0.722,0.608,0.0762,0.0752,0.0572,0.0,-1.311,199.99,122.0,21773
0.00066,0.0,0.0,0.331,0.0,0.111,0.289,-25.141,0.0,88.0,101416
0.00048,0.0,0.0,0.124,0.0,0.909,0.992,-9.423,0.0,71.0,101515
0.136,0.0394,0.186,0.987,0.0385,0.106,0.682,-22.685,60.323,127.0,59157
0.419,0.58,0.739,0.219,0.0854,0.196,0.0,-8.241,60.493,291.0,103653
0.00569,0.163,0.164,0.936,0.0445,0.0954,0.934,-35.348,73.934,83.0,101504
0.0584,0.16,0.429,0.907,0.0381,0.0841,0.00187,-22.624,67.244,810.0,93768
0.0131,0.0099,0.0961,0.895,0.0516,0.16,0.902,-35.122,90.97,36.0,101983
0.0597,0.107,0.207,0.994,0.046,0.0863,0.932,-24.436,86.195,917.0,75418
0.571,0.962,0.598,0.704,0.139,0.513,0.0,-12.616,173.141,397.0,64804
0.614,0.505,0.432,0.511,0.055,0.191,0.0,-6.782,169.633,3383.0,80134
0.386,0.964,0.542,0.748,0.0572,0.24,0.765,-13.136,182.214,342.0,52623
0.68,0.704,0.728,0.0865,0.165,0.1,1.06e-06,-4.129,179.839,2216.0,67115
0.146,0.497,0.52,0.918,0.0315,0.129,0.00397,-18.425,155.023,279.0,7871
0.517,0.803,0.546,0.893,0.0409,0.125,0.000204,-7.28,157.701,2185.0,45376
0.821,0.15,0.512,0.367,0.0722,0.126,0.716,-12.631,159.875,327.0,54126
0.839,0.906,0.665,0.612,0.0504,0.879,0.0,-9.003,166.959,2565.0,96414
0.0113,0.0725,0.277,0.769,0.0285,0.321,0.00268,-38.384,102.532,23.0,16149
0.185,0.162,0.403,0.962,0.0417,0.0958,0.911,-20.519,104.517,656.0,5199
0.0159,0.883,0.451,0.991,0.0644,0.0717,0.877,-35.666,114.211,17.0,16958
0.184,0.0416,0.521,0.902,0.0442,0.0966,0.924,-21.421,110.083,634.0,94398
0.0371,0.146,0.193,0.984,0.0408,0.129,0.937,-35.398,136.13,25.0,36243
0.138,0.0493,0.471,0.877,0.0351,0.103,0.878,-23.623,135.934,632.0,45107
0.00483,0.0327,0.162,0.924,0.0507,0.11,0.965,-46.591,138.768,21.0,101722
0.0769,0.781,0.502,0.985,0.0466,0.205,0.423,-19.183,142.069,387.0,16772
0.544,0.757,0.581,0.791,0.933,0.861,0.0,-15.51,64.065,234.0,18459
0.563,0.605,0.313,0.819,0.108,0.308,0.0,-5.546,63.78,452.0,108899
0.386,0.312,0.666,0.244,0.0417,0.605,0.113,-13.636,75.023,704.0,94468
0.319,0.398,0.523,0.839,0.0388,0.118,1.75e-05,-11.024,75.458,1644.0,64111
