r,g,b,r_255,g_255,b_255,weight,source_index
0.5333333333333333,0.34509803921568627,0.3333333333333333,136.0,88.0,85.0,56285.861667604506,1025298
0.4980392156862745,0.5411764705882353,0.396078431372549,127.0,138.0,101.0,12357.42908017359,376945
0.5568627450980392,0.5764705882352941,0.3843137254901961,142.0,147.0,98.0,88691.40335000887,241876
0.4196078431372549,0.4980392156862745,0.5333333333333333,107.0,127.0,136.0,11093.49777616761,204298
0.47058823529411764,0.5686274509803921,0.6078431372549019,120.0,145.0,155.0,12464.52477819488,288298
0.12156862745098039,0.10196078431372549,0.09411764705882353,31.0,26.0,24.0,171368.27188567113,595389
0.3215686274509804,0.21568627450980393,0.20392156862745098,82.0,55.0,52.0,36141.76707186409,909774
0.17647058823529413,0.2784313725490196,0.1568627450980392,45.0,71.0,40.0,160620.30928613825,315200
0.26666666666666666,0.34509803921568627,0.1843137254901961,68.0,88.0,47.0,159261.4063253964,542495
0.2235294117647059,0.23921568627450981,0.26666666666666666,57.0,61.0,68.0,9030.390084097093,474608
0.17647058823529413,0.2784313725490196,0.39215686274509803,45.0,71.0,100.0,12777.729178068465,395798
0.3607843137254902,0.403921568627451,0.27058823529411763,92.0,103.0,69.0,103078.59900871804,523286
0.6588235294117647,0.6549019607843137,0.7019607843137254,168.0,167.0,179.0,93604.671080929,985547
0.7254901960784313,0.7294117647058823,0.7647058823529411,185.0,186.0,195.0,22071.817160123643,989599
0.7411764705882353,0.7803921568627451,0.8117647058823529,189.0,199.0,207.0,28881.48701543964,718997
0.7529411764705882,0.8,0.8313725490196079,192.0,204.0,212.0,70846.83525140483,760942
